Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,J + F,MAM,JJAS,OND,J to D
1909,16.3,5.8,3,60.6,51.9,209.8,296.1,222.6,160.8,36.9,10.1,24.5,22.1,115.5,889.3,71.5,1098.4
1910,5.5,4.2,8,21.2,35.8,211.8,237.8,282.8,202.9,108.6,37.9,0.3,9.7,65,935.3,146.8,1156.8
1911,16.2,1.3,24.1,19.6,44.1,192.6,153.4,211.1,179.5,72.6,41.5,11.4,17.5,87.8,736.6,125.5,967.4
1912,7,18.7,12.9,30.9,36.2,105.9,320.7,258,121.6,66.1,56,2.5,25.7,80,806.2,124.6,1036.5
1913,1.2,31,16.3,20.4,70.2,215.2,264.2,188.2,117,73.2,17.9,20.8,32.2,106.9,784.6,111.9,1035.6
1914,1.2,12.1,14.8,34.5,63.5,161.6,320.8,232.9,182.9,41.1,20.6,15.6,13.3,112.8,898.2,77.3,1101.6
1915,18.4,25.7,39.1,26,63.1,156.7,229.9,213.2,181.1,88.8,54.6,6.2,44.1,128.2,780.9,149.6,1102.8
1916,1.2,9.4,3.4,23.3,48.2,199.1,258.3,289.8,203.7,147.4,50.9,3,10.6,74.9,950.9,201.3,1237.7
1917,3.3,34.6,14.6,23.4,71.4,214.4,246.6,275.6,267.9,159.6,31.7,4.6,37.9,109.4,1004.5,195.9,1347.7
1918,10.6,2,14.6,18.6,88.1,181.3,143.6,220.5,105.6,14.7,47.3,11.2,12.6,121.3,651,73.2,858.1
1919,37.5,12.2,11.5,20.4,51.3,179.5,271.2,280.8,153.2,70.7,59,13.8,49.7,83.2,884.7,143.5,1161.1
1920,20.7,8.7,25.5,22.8,45.5,142.6,291.7,162.9,122,48.5,30.3,0.5,29.4,93.8,719.2,79.3,921.7
1921,29.6,2.3,11,31.9,29.6,167.3,266.7,236.2,195.9,66.4,19.1,4.6,31.9,72.5,866.1,90.1,1060.6
1922,22.8,4.7,4.2,16.9,37.1,180.4,291,202.8,195,51.8,64.8,9.2,27.5,58.2,869.2,125.8,1080.7
1923,10.8,26.4,15.9,20.8,39.9,93.7,297.1,260.5,172,60.8,20.7,13.9,37.2,76.6,823.3,95.4,1032.5
1924,14.1,7,5.5,22.6,40.6,110.9,300,225,227,61.7,62.9,10.6,21.1,68.7,862.9,135.2,1087.9
1925,4.3,2.4,9.4,30.6,80.7,187.1,285.9,213.4,117.4,72,43.4,17.6,6.7,120.7,803.8,133,1064.2
1926,26.8,5,41.8,27.1,51.8,81.6,287.7,323.7,210,53.2,10.9,5.7,31.8,120.7,903,69.8,1125.3
1927,8,23.3,16.3,23.3,44.1,161.2,319.5,221.8,150.8,61.3,61.2,9.4,31.3,83.7,853.3,131.9,1100.2
1928,9.9,28.2,8.6,22.9,41,154.2,283.5,198.3,132.1,123.9,16.9,16.8,38.1,72.5,768.1,157.6,1036.3
1929,17.9,15.3,9.7,40.6,45.8,182.9,287,221.3,130.1,91.9,20.1,26.5,33.2,96.1,821.3,138.5,1089.1
1930,8.9,11.7,11.4,25,53.7,173.2,280.2,178.4,173,97.4,59.3,9.8,20.6,90.1,804.8,166.5,1082
1931,4.2,17.4,9.8,21.3,43.1,114.9,282.7,289.9,189.9,128.3,46.4,24.5,21.6,74.2,877.4,199.2,1172.4
1932,1.4,16,11.3,22.2,65.6,112.2,313.6,204.1,173.6,70.4,60.6,8,17.4,99.1,803.5,139,1059
1933,7.8,20.2,10.7,36,101.1,202.4,257.3,310.3,206,91.4,19.7,17.6,28,147.8,976,128.7,1280.5
1934,14.7,7.5,8.8,25.7,33.3,203.6,254.8,283.9,171.3,69.3,34.2,5.1,22.2,67.8,913.6,108.6,1112.2
1935,14.8,10.5,6.5,28.4,20.6,140.3,304.7,221.9,176.8,54.4,10.8,9.1,25.3,55.5,843.7,74.3,998.8
1936,6,29.2,18.2,18.7,83.7,239.5,260.5,219,189.6,70.2,62.5,10.4,35.2,120.6,908.6,143.1,1207.5
1937,1,41.1,11.9,48.5,47,155.8,328.3,189.2,168.9,94.7,21.4,10,42.1,107.4,842.2,126.1,1117.8
1938,11.5,14.6,15.5,19.3,64.5,238.9,267.8,242.1,159.6,78.3,16.7,3.3,26.1,99.3,908.4,98.3,1132.1
1939,7.3,16.1,18,28.8,28.8,147.5,252.9,236.8,152.5,93.6,33.3,1.3,23.4,75.6,789.7,128.2,1016.9
1940,7.6,17.1,34.2,19.3,67.3,169.4,288.4,284.4,111.3,72.2,45.5,15,24.7,120.8,853.5,132.7,1131.7
1941,19.6,10.4,7,23.2,60.8,164.3,218.3,209.8,136,68.1,27.3,12.6,30,91,728.4,108,957.4
1942,13.3,27.5,9.3,34.2,42.6,173.9,322.5,280.8,180.7,38.2,20.6,22.2,40.8,86.1,957.9,81,1165.8
1943,40.6,7.5,11.3,35.3,76.5,153.3,297.2,213.8,204.1,98.6,18.6,3.5,48.1,123.1,868.4,120.7,1160.3
1944,18.9,28.1,50.6,23.9,40,137.2,346.1,297.5,139.8,95.5,30,8.8,47,114.5,920.6,134.3,1216.4
1945,23.6,5.6,4.8,34,40.6,158.9,313.8,225.8,212.6,82.9,20,2.8,29.2,79.4,911.1,105.7,1125.4
1946,1,11.1,15.1,43.1,52.7,207.5,282.3,276.8,137.2,88.5,85.1,31.6,12.1,110.9,903.8,205.2,1232
1947,17,10.9,16.2,30.6,39.5,122.8,290.9,296.1,235.8,68.9,6.8,19.5,27.9,86.3,945.6,95.2,1155
1948,25.5,14.2,11.8,27.6,65.2,150.5,279.4,260.9,183.2,65.9,81.6,3.5,39.7,104.6,874,151,1169.3
1949,4.2,10.9,5.3,37,80.5,138.1,294.7,238.3,233,100,10.6,1.1,15.1,122.8,904.1,111.7,1153.7
1950,5.8,17.8,22.4,8,44,146.8,322.9,223.7,183.6,52.1,33.2,7.2,23.6,74.4,877,92.5,1067.5
1951,5.9,2.1,28,36.2,47.1,155.2,254.4,207.6,121.9,79.6,33.9,0.9,8,111.3,739.1,114.4,972.8
1952,2.3,11.5,15.4,27.3,64.7,161.8,276.6,236.8,117.9,81.1,6.3,18,13.8,107.4,793.1,105.4,1019.7
1953,19.3,4.3,10.1,27.4,36.6,156.4,300,286.9,179.9,93.3,13.7,1.8,23.6,74.1,923.2,108.8,1129.7
1954,12.9,16.2,11.9,19.7,44.2,138.2,283.8,223,240.6,79.8,1.9,13.4,29.1,75.8,885.6,95.1,1085.6
1955,15.6,2.9,12.5,28.5,66,179.8,224,304,222.6,145.2,31.6,10.6,18.5,107,930.4,187.4,1243.3
1956,8.6,7.2,16.3,22.6,87,207.9,341.5,253.8,180.1,152.5,48.4,9,15.8,125.9,983.3,209.9,1334.9
1957,24.5,7,26.1,19.2,49.5,145.3,262,260.4,121,59.7,26.1,6.5,31.5,94.8,788.7,92.3,1007.3
1958,7,10.6,9.7,28.2,60.2,115.2,289.9,270.1,214.2,102,35,4.9,17.6,98.1,889.4,141.9,1147
1959,20.3,10.2,9.6,22.8,58.5,157.3,321.1,250.1,215.6,133.3,21.4,4.4,30.5,90.9,944.1,159.1,1224.6
1960,8.9,1.1,23.2,13,55.5,146.1,277.7,250.2,165.8,76.1,39.1,5,10,91.7,839.8,120.2,1061.7
1961,16.6,24.5,16.4,17.5,67.5,187,316.3,273.7,243.3,125.7,18.6,7.1,41.1,101.4,1020.3,151.4,1314.2
1962,9.1,11,11.5,34.6,58.1,105.9,259.4,236.3,208.2,84.4,15.2,28.8,20.1,104.2,809.8,128.4,1062.5
1963,7.3,5.2,14.1,32.1,47.2,152.5,239.6,302.9,162.9,98.9,22.9,10,12.5,93.4,857.9,131.8,1095.6
1964,1.4,5.8,8.3,24.9,43.8,143.8,313,263.7,202.1,73.4,25.8,6.5,7.2,77,922.6,105.7,1112.5
1965,5.5,9.2,14.9,24.3,34.6,110.4,266.9,189.4,142.7,36.2,15.8,22.1,14.7,73.8,709.4,74.1,872
1966,14.7,5.2,5.1,16.1,52,165.8,237.5,198.2,138.4,58,61.2,17.9,19.9,73.2,739.9,137.1,970.1
1967,9.2,2.7,52.8,22.5,33.3,141.4,292.4,257.4,168.9,42,13.2,49.6,11.9,108.6,860.1,104.8,1085.4
1968,15,12.1,20.1,27.1,31.7,136.5,288.6,194.7,134.8,70.3,23.8,7,27.1,78.8,754.6,101.1,961.6
1969,4,2.8,9.6,24.2,55.7,121,300.4,238.7,170.9,59.6,43.9,13.9,6.8,89.5,831,117.4,1044.7
1970,16.9,20.8,18.4,24,58,210.8,222.8,298.9,207.3,76.2,19.4,0.8,37.7,100.4,939.8,96.4,1174.3
1971,11.4,10.3,9.3,46,70.2,219.4,249.3,258.8,159.3,105.2,13.8,10,21.7,125.5,886.8,129,1163
1972,2.5,13.1,4.8,20.6,44.8,122.6,183.9,217.2,129.2,63.4,30.8,16,15.6,70.2,652.9,110.2,848.9
1973,4.7,11.9,7.8,19.5,48.8,141.2,278.7,307.5,186,125.9,19.6,17.8,16.6,76.6,913.4,163.3,1169.4
1974,1.9,3.9,13.9,22.2,60.6,106,273.6,228.2,140.3,106.6,11.9,4.2,5.8,96.7,748.1,122.7,973.3
1975,6.7,9.6,13.7,16.4,40.6,180.2,290.1,264.7,227.9,121.7,25,2.8,16.3,70.7,962.9,149.5,1199.4
1976,4.7,8.1,12.6,29.9,36.7,141.9,288.2,278.6,148.1,31.9,61.7,4,12.8,79.2,856.8,97.6,1046.4
1977,7.1,5.8,8.4,48.9,71.9,188.3,310.6,239.5,144.8,89.3,71.4,8.6,12.9,129.2,883.2,169.3,1194.6
1978,7.3,21.6,19.6,23.4,50.3,199.6,276.1,273.5,160.1,55.1,44.2,23,28.9,93.3,909.3,122.3,1153.8
1979,14.6,27.3,9.9,15.8,40.5,143.5,225.8,199,139.5,46.1,88.3,12,41.9,66.2,707.8,146.4,962.3
1980,4.4,5.4,16.9,24.6,44.1,215.1,278.3,253.4,136,51.8,24.2,17.8,9.8,85.6,882.8,93.8,1072
1981,16.3,7.3,24.8,27.6,58.4,138.7,288.9,226.3,198.3,51,29.2,12.8,23.6,110.8,852.2,93,1079.6
1982,16.7,11.1,24.9,36.6,50.4,129.6,216.3,268.5,121,48.7,50.4,5.7,27.8,111.9,735.4,104.8,979.9
1983,7.3,10.6,12.7,35.4,54.9,137.8,273.7,293.4,250.8,90,12.2,26.2,17.9,103,955.7,128.4,1205
1984,16.1,26.6,12.2,27.9,39.1,173.9,261.2,259.1,142.5,60.1,13.2,7.8,42.7,79.2,836.7,81.1,1039.7
1985,17.1,6.9,9.7,23.7,43.8,140.4,253.4,218.5,147.5,114,19.3,13.1,24,77.2,759.8,146.4,1007.4
1986,14.8,28.1,7.5,31,43.5,177.6,238.4,213.5,113.5,70.7,38.6,16.9,42.9,82,743,126.2,994.1
1987,11.3,9.3,16.7,21.6,44.8,115.8,206.9,237.1,137.5,86.7,54.2,23.5,20.6,83.1,697.3,164.4,965.4
1988,2.5,11.2,18.8,31.9,50.3,156.5,323.2,276.2,205.6,50.2,22.5,10.2,13.7,101,961.5,82.9,1159.1
1989,6.1,3.8,19.1,16.6,42.6,183.6,286.2,231.1,165.8,48.6,14.9,12.1,9.9,78.3,866.7,75.6,1030.5
1990,5.2,25.7,23.7,30,107.7,172.1,263.1,283.4,190.1,100.7,33.5,8.8,30.9,161.4,908.7,143,1244
1991,8.9,8.4,13.8,29.6,50.9,180.7,255.7,232.8,115.4,60.9,35.5,13.3,17.3,94.3,784.6,109.7,1005.9
1992,6.2,10.2,4,16.8,48.5,121.1,224.7,280.4,158.7,65.7,49.6,4.6,16.4,69.3,784.9,119.9,990.5
1993,2.8,16.5,18.3,27.9,66.5,184,280.7,220.1,211.9,89,29,22,19.3,112.7,896.7,140,1166.4
